Activity Date,Activity Type,Elapsed Time,Distance,Max Heart Rate,Commute,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Perceived Exertion,Perceived Relative Effort,Average Elapsed Speed,Dirt Distance,Carbon Saved
"Feb 4, 2025, 4:18:37 AM",Walk,6255,6.08,,TRUE,6255,4200,6087.9,9.34,1.449,88.7,80.8,-1.2,36.1,43.1,0.1,2,19,0.973,2176.7,1.32
"Feb 6, 2025, 12:24:35 PM",Walk,4243,2.51,,TRUE,4243,1736,2511,11.18,1.446,127.3,115.4,-12.8,46.9,49.6,0.5,,,0.592,545.9,0.55
"Feb 15, 2025, 2:27:36 PM",Walk,6387,7.8,,FALSE,6387,4922,7799.7,9.04,1.585,86.6,86.6,-3.6,29.8,37.1,0,6,129,1.221,3691.9,
"Feb 16, 2025, 2:18:15 PM",Walk,10460,11.4,,TRUE,10460,5925,11401.7,37.24,1.924,151.3,151.3,-9.1,30.6,49.2,-0.1,3,49,1.09,0,2.48
"Feb 21, 2025, 3:19:41 PM",Walk,3358,3.87,,TRUE,3358,2790,3870,13.08,1.387,57.1,57.1,-5.3,19.6,47.9,0.3,1,6,1.152,98.8,0.84
"Mar 23, 2025, 2:19:52 PM",Run,5298,7.99,,TRUE,5298,4682,7992.8,5.86,1.707,150,150,-14.3,43.8,49.6,0.1,7,149,1.509,409.6,1.74
"Apr 4, 2025, 2:47:43 PM",Walk,7183,7.01,,FALSE,7183,4509,7015.4,9.489,1.556,198,198,-0.6,46.3,49.5,0.2,,,0.977,534.9,
"Apr 13, 2025, 3:36:11 AM",Walk,2284,3.45,,FALSE,2284,2284,3454,4.76,1.512,0,0,4.4,5.7,1.4,0,5,41,1.512,0,
"Apr 13, 2025, 4:15:10 AM",Walk,1739,2.52,,TRUE,1739,1510,2521,4.18,1.67,80.8,80.9,1.7,38,47.7,0.5,4,16,1.45,109,0.55
"Apr 13, 2025, 2:58:32 AM",Walk,2227,3.06,,TRUE,2227,1724,3065.8,4.714,1.778,86.8,87.4,-8.6,36.7,49.9,0,3,14,1.377,698.9,0.67
"May 9, 2025, 3:08:54 PM",Walk,9292,5.64,,TRUE,9292,4056,5643,14.596,1.391,244.4,244.4,-16.8,39.2,49.7,0.3,2,19,0.607,121.1,1.23
"May 15, 2025, 3:12:58 AM",Run,4851,6.42,,TRUE,4851,3549,6425.7,4.86,1.811,58.7,58.7,-5.2,31,46.9,-0.2,4,39,1.325,24.4,1.4
"Jun 4, 2025, 7:09:34 PM",Run,2195,2.48,,TRUE,2195,1428,2488,6.18,1.742,35,23.8,0,21,47.7,0.4,4,15,1.133,323,0.54
"Jun 6, 2025, 2:16:34 PM",Walk,8928,10.98,,FALSE,8928,6915,10981.3,10.471,1.588,190.2,180.4,-3.7,49.8,50,0.1,4,76,1.23,1760,
