start_date,type,name,moving_time,max_heart_rate,distance,average_speed,max_speed,total_elevation_gain,max_heartrate,average_heartrate,calories
"Nov 29, 2024, 12:57:37 PM",Ride,Afternoon Ride,3293.00,,20237.80,6.15,9.86,29.4,,,
"Nov 29, 2024, 12:58:29 PM",Ride,Afternoon Ride,3420.00,,20338.20,5.95,9.82,54.8,,,440
"Dec 4, 2024, 1:47:04 PM",Ride,Afternoon Ride,3299.00,,18587.00,5.63,9.60,49.6,,,406
"Dec 15, 2024, 2:59:30 AM",Ride,Morning Ride,5132.00,,30248.80,5.89,10.30,0,,,639
"Dec 15, 2024, 4:48:09 AM",Ride,Morning Ride,3479.00,,20162.20,5.80,9.38,0,,,413
"Dec 15, 2024, 3:07:09 AM",Ride,Morning Ride,7934.00,,50188.00,6.33,10.34,111.2,,,
"Dec 26, 2024, 12:26:41 PM",Ride,Evening Ride,6105.00,,37434.10,6.13,10.30,57.8,,,
"Dec 26, 2024, 12:27:29 PM",Ride,Afternoon Ride,6479.00,,37446.30,5.78,11.16,124.5,,,819
"Jan 2, 2025, 1:10:17 PM",Ride,Evening Ride,3525.00,,20339.20,5.77,9.76,48.7,,,
"Jan 14, 2025, 12:33:44 PM",Ride,Afternoon Ride,3667.00,,21341.00,5.82,10.92,114.4,,,
"Jan 16, 2025, 12:27:23 PM",Ride,Morning Ride,7204.00,,34523.00,4.79,11.14,29.5,,,
"Jan 19, 2025, 4:18:12 AM",Ride,Afternoon Ride,2669.00,,10074.20,3.78,9.98,31.3,,,
"Jan 22, 2025, 1:16:43 PM",Ride,Evening Ride,4440.00,,20703.10,4.66,6.98,58.9,,,160
"Jan 22, 2025, 1:16:53 PM",Ride,Lunch Ride,8117.00,,40347.60,4.97,10.62,46.5,,,
"Jan 26, 2025, 4:07:28 AM",Ride,Morning Ride,5349.00,181,24649.10,4.61,9.74,31.6,,,
"Jan 26, 2025, 4:07:11 AM",Ride,Evening Ride,2645.00,117,9959.90,3.77,7.50,27.2,181,149,477
"Jan 29, 2025, 2:20:33 PM",Ride,Morning Ride,4623.00,183,23807.10,5.15,9.34,52.3,117,106,159
"Feb 9, 2025, 3:54:46 AM",Ride,Morning Ride,12198.00,173,70882.70,5.81,8.08,515,183,160,484
"Feb 16, 2025, 3:17:01 AM",Ride,Evening Ride,3834.00,,24221.70,6.32,11.66,44.4,173,154,1538
"Mar 3, 2025, 1:59:33 PM",Ride,Evening Ride,4131.00,166,24122.70,5.84,11.26,16.9,,,
"Mar 3, 2025, 2:00:09 PM",Ride,Evening Ride,3046.00,,20518.20,6.74,13.60,68,166,148,537
"Mar 12, 2025, 1:10:00 PM",Ride,Afternoon Ride,3462.00,166,24227.80,7.00,12.04,357.6,,,
"Mar 12, 2025, 1:12:01 PM",Ride,Evening Ride,6494.00,,39590.20,6.10,21.74,112.4,166,149,510
"Mar 17, 2025, 12:59:24 PM",Ride,Evening Ride,3056.00,,13590.90,4.45,10.56,238.6,,,
"Mar 18, 2025, 2:09:31 PM",Ride,Morning Ride,3403.00,,15461.10,4.54,9.44,45.9,,,
"Mar 23, 2025, 3:38:02 AM",Ride,Evening Ride,5586.00,,31243.90,5.59,18.36,70,,,
"Mar 25, 2025, 1:22:17 PM",Ride,Afternoon Ride,6055.00,166,31278.40,5.17,10.94,29.4,,,
"Mar 25, 2025, 1:22:03 PM",Ride,Evening Ride,5424.00,,31650.00,5.84,10.86,76,166,145,646
"Apr 1, 2025, 1:27:22 PM",Ride,Afternoon Ride,6163.00,154,31574.30,5.12,11.40,59,,,
"Apr 1, 2025, 1:27:00 PM",Ride,Evening Ride,7903.00,,51471.70,6.51,10.98,22,154,129,658
"Apr 8, 2025, 1:32:33 PM",Ride,Evening Ride,8248.00,,45363.60,5.50,11.72,26.6,,,
"Apr 9, 2025, 2:00:07 PM",Ride,,,,,,10.78,44.2,,,
"Apr 10, 2025, 2:10:20 PM",Ride,Evening Ride,6564.00,,41615.60,6.34,10.16,99.8,,,
"Apr 14, 2025, 2:08:56 PM",Ride,Evening Ride,7348.00,,50709.10,6.90,10.74,44.1,,,
"Apr 14, 2025, 2:09:12 PM",Ride,Evening Ride,7611.00,179,50355.50,6.62,10.68,105.2,179,154,1254
"Apr 16, 2025, 3:05:21 PM",Ride,Evening Ride,3193.00,,20194.50,6.33,10.86,74.4,,,
"Apr 16, 2025, 3:04:28 PM",Ride,Evening Ride,3552.00,158,20225.90,5.69,10.32,73.4,158,143,461
"Apr 22, 2025, 2:32:20 PM",Ride,Evening Ride,7931.00,,52120.60,6.57,10.94,61.9,,,
"Apr 23, 2025, 1:54:03 PM",Ride,Evening Ride,8171.00,,54381.60,6.66,10.66,76.4,,,
"Apr 23, 2025, 2:19:56 PM",Ride,Evening Ride,6857.00,167,44017.60,6.42,10.60,119.8,167,151,1029
"Apr 24, 2025, 3:05:45 PM",Ride,Night Ride,7143.00,,51310.30,7.18,10.80,31.8,,,
"Apr 24, 2025, 3:11:09 PM",Ride,Evening Ride,7159.00,175,50693.40,7.08,10.80,62.2,175,157,1290
"Apr 28, 2025, 2:05:41 PM",Ride,Evening Ride,8954.00,,60419.30,6.75,11.82,96.2,,,
"Apr 26, 2025, 3:05:57 PM",Ride,Evening Ride,4371.00,163,30859.50,7.06,11.22,90.1,163,148,698
"Apr 29, 2025, 3:11:08 PM",Ride,Evening Ride,4624.00,,30664.30,6.63,10.28,120.2,,,
"May 1, 2025, 3:14:11 PM",Ride,Night Ride,7729.00,,50781.70,6.57,12.24,74.4,,,
"May 12, 2025, 2:10:22 PM",Ride,Evening Ride,7301.00,,50292.70,6.89,11.00,145.4,,,
"May 12, 2025, 2:12:38 PM",Ride,Evening Ride,7542.00,173,50229.30,6.66,10.96,89.3,173,160,1254
"May 13, 2025, 2:26:00 PM",Ride,Evening Ride,6712.00,,46024.20,6.86,10.62,222.4,,,
"May 15, 2025, 2:29:55 PM",Ride,Evening Ride,4726.00,,22607.30,4.78,11.64,46.2,,,
"May 21, 2025, 2:27:11 PM",Ride,Evening Ride,5408.00,,32596.70,6.03,12.78,74.5,,,
"May 21, 2025, 2:27:33 PM",Ride,Evening Ride,6136.00,159,33056.90,5.39,12.62,74.4,159,134,745
"May 22, 2025, 3:12:30 PM",Ride,Evening Ride,4198.00,,30286.00,7.21,11.24,110.4,,,
"May 27, 2025, 2:42:00 PM",Ride,Evening Ride,4946.00,,34897.70,7.06,11.36,119.1,,,
"Jun 8, 2025, 2:31:56 PM",Ride,Night Ride,7827.00,,51932.90,6.64,11.76,41.4,,,
"Jun 8, 2025, 2:32:07 PM",Ride,Evening Ride,6307.00,158,40567.00,6.43,11.70,60.3,158,145,949
"Jun 17, 2025, 3:06:40 PM",Ride,Evening Ride,4410.00,,30376.60,6.89,10.82,169.4,,,
"Jun 19, 2025, 3:43:44 PM",Ride,Evening Ride,1.00,,0.00,0.00,0.00,58.6,,,
"Jun 23, 2025, 2:39:15 PM",Ride,Evening Ride,4476.00,169,31430.90,7.02,10.60,75.4,169,152,772
"Jun 23, 2025, 2:38:56 PM",Ride,Evening Ride,4415.00,,31556.00,7.15,10.74,103.4,,,
"Jun 25, 2025, 1:46:35 PM",Ride,Evening Ride,7386.00,,50446.10,6.83,11.84,113,,,
