start_date,name,type,Total Steps,Distance,Max Heart Rate,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Max Heart Rate,Average Heart Rate
"Feb 9, 2025, 3:58:58 AM",Wahtba Morning Ride,Ride,,14.16,,2710,14163.40,7.18,5.23,14.40,,
"Feb 13, 2025, 2:13:02 PM",Evening Run,Run,4172,3.44,,1969,3439.20,3.90,1.75,0.00,,
"Feb 16, 2025, 3:14:40 AM",Morning Ride,Ride,,33.03,,6926,33036.30,9.72,4.77,38.20,,
"Mar 18, 2025, 2:15:20 PM",Hudayriat Ride,Ride,,13.36,,2571,13361.30,9.50,5.20,19.40,,
"Mar 23, 2025, 3:41:41 AM",Hudayriyat Ride,Ride,,2.80,,660,2800.90,10.00,4.24,4.70,,
"Mar 26, 2025, 1:39:04 PM",Evening Walk,Walk,6438,4.07,,3587,4076.50,2.32,1.14,4.00,,
"Apr 1, 2025, 1:27:09 PM",Evening Ride,Ride,,14.84,,2766,14845.90,19.63,5.37,19.40,,
"Apr 20, 2025, 2:37:36 AM",Evening Ride,Ride,,8.47,,1898,8471.00,7.34,4.46,8.00,,
"May 15, 2025, 2:40:45 PM",Evening Ride,Ride,,21.49,,4305,21489.70,8.22,4.99,44.10,,
"Jun 9, 2025, 2:47:24 PM",Evening Walk,Walk,9332,6.63,,5824,6636.10,5.84,1.14,76.90,,
"Jun 19, 2025, 2:50:30 PM",Evening Walk,Walk,11212,7.28,,6739,7288.70,4.28,1.08,18.70,,
"Jun 24, 2025, 2:12:54 PM",Night Walk + Sponti,Walk,14488,9.52,,8841,9528.20,16.38,1.08,47.10,,
"Jun 25, 2025, 3:17:02 PM",Evening Walk,Walk,4978,3.44,,3100,3439.30,4.46,1.11,61.10,,
"Aug 14, 2025, 3:44:10 PM",Evening Run,Run,3052,2.34,,1474,2340.20,3.18,1.59,9.50,,
"Aug 7, 2025, 3:09:58 PM",Evening Walk,Walk,5262,3.64,,2962,3644.50,8.89,1.23,0.00,,
"Aug 21, 2025, 3:25:13 PM",Evening Run,Run,3568,2.70,,1915,2701.60,3.28,1.41,0.00,,
