start_date_local,type,distance,average_speed,max_speed,average_heartrate,max_heartrate
"Nov 29, 2024, 12:57:37",Ride,20237.8,6.15,9.86,29.4,
"Nov 29, 2024, 12:58:29",Ride,20338.2,5.95,9.82,54.8,
"Dec 4, 2024, 13:47:04",Ride,18587,5.63,9.6,49.6,
"Dec 15, 2024, 02:59:30",Ride,30248.8,5.89,10.3,0,
"Dec 15, 2024, 04:48:09",Ride,20162.2,5.8,9.38,0,
"Dec 15, 2024, 03:07:09",Ride,50188,6.33,10.34,111.2,
"Dec 26, 2024, 12:26:41",Ride,37434.1,6.13,10.3,57.8,
"Dec 26, 2024, 12:27:29",Ride,37446.3,5.78,11.16,124.5,
"Jan 2, 2025, 13:10:17",Ride,20339.2,5.77,9.76,48.7,
"Jan 14, 2025, 12:33:44",Ride,21341,5.82,10.92,114.4,
"Jan 16, 2025, 12:27:23",Ride,34523,4.79,11.14,29.5,
"Jan 19, 2025, 04:18:12",Ride,10074.2,3.78,9.98,31.3,
"Jan 22, 2025, 13:16:43",Ride,20703.1,4.66,6.98,58.9,
"Jan 22, 2025, 13:16:53",Ride,40347.6,4.97,10.62,46.5,
"Jan 26, 2025, 04:07:28",Ride,24649.1,4.61,9.74,31.6,
"Jan 26, 2025, 04:07:11",Ride,9959.9,3.77,7.5,27.2,181
"Jan 29, 2025, 14:20:33",Ride,23807.1,5.15,9.34,52.3,117
"Feb 9, 2025, 03:54:46",Ride,70882.7,5.81,8.08,515,183
"Feb 16, 2025, 03:17:01",Ride,24221.7,6.32,11.66,44.4,173
"Mar 3, 2025, 13:59:33",Ride,24122.7,5.84,11.26,16.9,
"Mar 3, 2025, 14:00:09",Ride,20518.2,6.74,13.6,68,166
"Mar 12, 2025, 13:10:00",Ride,24227.8,7,12.04,357.6,
"Mar 12, 2025, 13:12:01",Ride,39590.2,6.1,21.74,112.4,166
"Mar 17, 2025, 12:59:24",Ride,13590.9,4.45,10.56,238.6,
"Mar 18, 2025, 14:09:31",Ride,15461.1,4.54,9.44,45.9,
"Mar 23, 2025, 03:38:02",Ride,31243.9,5.59,18.36,70,
"Mar 25, 2025, 13:22:17",Ride,31278.4,5.17,10.94,29.4,
"Mar 25, 2025, 13:22:03",Ride,31650,5.84,10.86,76,166
"Apr 1, 2025, 13:27:22",Ride,31574.3,5.12,11.4,59,
"Apr 1, 2025, 13:27:00",Ride,51471.7,6.51,10.98,22,154
