start_date_local,type,name,distance,moving_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate
2022-11-18T08:38:29Z,Walk,Morning Walk,3563.3,2122,99,1.679,5.622,100.8,130
2022-11-17T16:06:02Z,Ride,Evening Ride,30646.5,5742,130,5.337,12.612,121.1,166
2022-11-15T17:42:54Z,Ride,Evening Ride,34271.7,5653,118,6.063,10.222,121.5,167
2022-11-12T08:05:43Z,Ride,Morning Ride,181300,28762,808,6.303,14.963,149.3,179
2022-11-10T20:22:58Z,Walk,Evening Walk,4251.3,3305,70,1.286,2.009,88,141
2022-11-09T16:24:20Z,Ride,Evening Ride,22213.7,3718,136,5.975,13.664,149.3,178
2022-11-08T16:51:57Z,Ride,Evening Ride,26106.6,4875,191,5.355,11.898,129.6,177
2022-11-07T14:28:39Z,Ride,Afternoon Ride,6664.6,1250,71,5.332,14.294,149,178
2022-11-06T13:04:33Z,Ride,Afternoon Ride,50679,8435,278,6.008,12.335,127.8,174
2022-11-05T10:43:44Z,Walk,Morning Walk,7818.6,5891,110,1.327,6.625,80,132
2022-11-04T10:54:09Z,Ride,Morning Ride,47696,8380,194,5.692,10.722,117.7,166
2022-11-03T20:11:12Z,Walk,Evening Walk,4124.7,2706,48,1.524,3.215,83,97
2022-11-02T12:20:44Z,Hike,Afternoon Hike,11618.8,8160,80,1.424,3.376,77.8,119
2022-11-01T12:13:36Z,Ride,Afternoon Ride,60188.7,12287,443,4.899,12.326,119.6,192
2022-10-31T12:28:52Z,Run,Afternoon Run,6370.2,2159,27,2.951,5.205,169.1,186
2022-10-30T12:00:43Z,Ride,Afternoon Ride,44215,7698,212,5.744,13.25,128.9,179
2022-10-28T17:56:11Z,Walk,Evening Walk,4344,3058,68,1.421,4.803,92.4,132
2022-10-28T10:43:47Z,Ride,Morning Ride,51028.2,9528,284,5.356,11.458,120,164
2022-10-27T11:49:33Z,Ride,Afternoon Ride,12105,2551,95,4.745,10.87,112.5,141
2022-10-25T15:45:43Z,Ride,Evening Ride,44231,7759,199,5.701,17.746,130.7,175
2022-10-25T12:39:06Z,Walk,Afternoon Walk,6027.1,4640,72,1.299,3.154,86.9,127
2022-10-24T13:20:00Z,Run,Afternoon Run,6388,2284,23,2.797,6.004,163.7,177
2022-10-23T12:17:00Z,Hike,Afternoon Hike,12357.3,9970,131,1.239,2.846,82.9,105
2022-10-22T12:26:58Z,Walk,Afternoon Walk,5704.8,5165,36,1.105,3.744,80.3,115
2022-10-20T15:20:00Z,Ride,Evening Ride,32352.3,5025,230,6.438,13.158,153.6,179
2022-10-19T19:27:37Z,Walk,Evening Walk,3995.9,3005,28,1.33,5.405,107,130
2022-10-18T15:03:13Z,Walk,Evening Walk,2961.3,2199,73,1.347,17.25,99.8,121
2022-10-18T12:32:36Z,Swim,Afternoon Swim,100,220,0,0.455,0.635,92.9,132
2022-10-18T10:57:09Z,Walk,Morning Walk,2863.2,2148,18,1.333,2.488,76.5,97
